id,escolas_postos,bairro,endereco,lat,lon,logradouro,numero_end,tipo_escola,subprefeitura,quantidade
660,ESCOLA MUNICIPAL NOSSA SENHORA DA POMPÉIA,TODOS OS SANTOS,RUA CIRNE MAIA 109,"-22,892031","-43,279925",RUA CIRNE MAIA,109,EM,ZONA NORTE,342
382,ESCOLA MUNICIPAL SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS S/N,"-22,981559","-43,217029",RUA HUMBERTO DE CAMPOS S/N,S/N,EM,ZONA SUL,262
217,ESCOLA MUNICIPAL ALAGOAS,PILARES,AVENIDA DOM HELDER CAMARA 6742,"-22,881338","-43,294091",AVENIDA DOM HELDER CAMARA,6742,EM,ZONA NORTE,440
378,ESCOLA MUNICIPAL BRIGADEIRO FARIA LIMA,AGUA SANTA,RUA VIOLETA S/No,"-22,906272","-43,307919",RUA VIOLETA,S/N,EM,ZONA NORTE,365
025,ESCOLA MUNICIPAL GEORGE SUMMER,RIACHUELO,RUA ANA NERI,"-22,900704","-43,255408",RUA ANA NERI,S/N,EM,ZONA NORTE,183
660,ESCOLA MUNICIPAL NOSSA SENHORA DA POMPÉIA,TODOS OS SANTOS,RUA CIRNE MAIA 109,"-22,892031","-43,279925",RUA CIRNE MAIA,109,EM,ZONA NORTE,342
373,ESCOLA MUNICIPAL PROFESSOR AUGUSTO PAULINO,MEIER,RUA CONEGO TOBIAS 116,"-22,904163","-43,28033",RUA CONEGO TOBIAS,116,EM,ZONA NORTE,44
624,ESCOLA MUNICIPAL RIO GRANDE DO SUL,ENGENHO DE DENTRO,RUA ADOLFO BERGAMINI 201,"-22,900341","-43,29594",RUA ADOLFO BERGAMINI,201,EM,ZONA NORTE,109
157,ESCOLA MUNICIPAL SARMIENTO,ENGENHO NOVO,RUA VINTE QUATRO DE MAIO 931,"-22,903031","-43,267883",RUA VINTE QUATRO DE MAIO,931,EM,ZONA NORTE,350
020,ESCOLA MUNICIPAL TAGORE,PIEDADE,PRACA FREDERICO DUVAL S/No,"-22,887661","-43,302467",PRACA FREDERICO DUVAL,S/N,EM,ZONA NORTE,255
117,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA CHANCELER WILLY BRANDT,JACARE,RUA ALVARO SEIXAS S/No,"-22,894178","-43,263847",RUA ALVARO SEIXAS,S/N,CIEP,ZONA NORTE,457
502,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA PATRICE LUMUMBA,DEL CASTILHO,PRACA DA CONFEDERACAO SUICA S/No,"-22,878355","-43,274889",PRACA DA CONFEDERACAO SUICA,S/N,CIEP,ZONA NORTE,493
351,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA VINÍCIUS DE MORAES,JACARE,AVENIDA DOM HELDER CAMARA 1715,"-22,885318","-43,254104",AVENIDA DOM HELDER CAMARA,1715,CIEP,ZONA NORTE,489
135,ESCOLA MUNICIPAL DOMINGOS BEBIANO,INHAUMA,ESTRADA ADHEMAR BEBIANO 1870,"-22,873892","-43,277712",ESTRADA ADHEMAR BEBIANO,1870,EM,ZONA NORTE,456
388,ESCOLA MUNICIPAL CARDEAL CAMARA,PARADA DE LUCAS,RUA ANAMA 98,"-22,81527","-43,303566",RUA ANAMA,98,EM,ZONA NORTE,504
440,ESCOLA MUNICIPAL JOAQUIM RIBEIRO,INHAUMA,PRACA SOLDADO COSME DOS SANTOS 28,"-22,87757","-43,285628",PRACA SOLDADO COSME DOS SANTOS,28,EM,ZONA NORTE,530
259,ESCOLA MUNICIPAL PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA 579,"-22,884179","-43,262622",RUA CONDE DE AZAMBUJA,579,EM,ZONA NORTE,158
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,AVENIDA DOS DEMOCRATICOS 268,"-22,880986","-43,253246",AVENIDA DOS DEMOCRATICOS,268,EM,ZONA NORTE,123
041,ESCOLA MUNICIPAL ANDRADE NEVES,JARDIM AMERICA,RUA VIANA DO CASTELO. S/No,"-22,809448","-43,326292",RUA VIANA DO CASTELO.,S/N,EM,ZONA NORTE,468
537,ESCOLA MUNICIPAL ARY QUINTELLA,PENHA CIRCULAR,RUA ENG. MOREIRA LIMA 54,"-22,839412","-43,300069",RUA ENG. MOREIRA LIMA,54,EM,ZONA NORTE,234
230,ESCOLA MUNICIPAL BERLIM,OLARIA,PRACA RAMOS FIGUEIRA 20,"-22,847791","-43,261444",PRACA RAMOS FIGUEIRA,20,EM,ZONA NORTE,24
379,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES S/N,"-22,895575","-43,570508",PRACA DANIEL LAMES S/N,S/N,CIEP,ZONA OESTE,109
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,"-22,917233","-43,211044",RUA HADDOCK LOBO,148,EM,CENTRO,473
146,ESCOLA MUNICIPAL BERNARDO VASCONCELOS,PENHA,PRACA SANTA ROSALIA 100,"-22,845629","-43,284007",PRACA SANTA ROSALIA,100,EM,ZONA NORTE,151
566,ESCOLA MUNICIPAL BRANT HORTA,PENHA CIRCULAR,RUA BENTO CARDOSO 130,"-22,835668","-43,288156",RUA BENTO CARDOSO,130,EM,ZONA NORTE,564
388,ESCOLA MUNICIPAL CARDEAL CAMARA,PARADA DE LUCAS,RUA ANAMA 98,"-22,81527","-43,303566",RUA ANAMA,98,EM,ZONA NORTE,504
498,ESCOLA MUNICIPAL CHILE,OLARIA,PRACA BELMONTE 15,"-22,84858","-43,268589",PRACA BELMONTE,15,EM,ZONA NORTE,61
663,ESCOLA MUNICIPAL CIENTISTA MÁRIO KROEFF,PENHA,RUA DO COUTO 91,"-22,838964","-43,27517",RUA DO COUTO,91,EM,ZONA NORTE,426
121,ESCOLA MUNICIPAL DILERMANDO CRUZ,RAMOS,AVENIDA TEIXEIRA DE CASTRO 407,"-22,853868","-43,252451",AVENIDA TEIXEIRA DE CASTRO,407,EM,ZONA NORTE,167
161,ESCOLA MUNICIPAL JOÃO DE DEUS,PENHA CIRCULAR,PRACA ALMEIDA GARRET S/No,"-22,829946","-43,282108",PRACA ALMEIDA GARRET,S/N,EM,ZONA NORTE,509
263,ESCOLA MUNICIPAL PADRE MANUEL DE NOBREGA,VIGARIO GERAL,PRACA ELBA 1215,"-22,857137","-43,264165",PRACA ELBA,1215,EM,ZONA NORTE,292
118,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA ELIS REGINA,BONSUCESSO,RUA PRINCIPAL S/N.o,"-22,857829","-43,240452",RUA PRINCIPAL S/N.o,S/N,CIEP,ZONA NORTE,210
